카테고리,판매가격,쿠폰할인액,현금지불,쿠폰비중,현금비중
데이터 사이언스,6361360060,1592232390,4769127670,0.2502974796241922,0.7497025203758079
디자인,1999351800,496571980,1502779820,0.24836648557797583,0.7516335144220242
마케팅,2342170000,528389756,1813780244,0.22559837928075246,0.7744016207192476
부동산/금융,2794815300,470743600,2324071700,0.16843460102712332,0.8315653989728766
부업/창업,196101000,87605900,108495100,0.44673867037903936,0.5532613296209606
업무 생산성,2139591700,510555145,1629036555,0.2386226984335376,0.7613773015664624
영상/3D,2816592000,644673700,2171918300,0.22888430415196806,0.771115695848032
일러스트,2980035370,650357765,2329677605,0.21823827044039412,0.7817617295596059
투자/재테크,769069500,291621450,477448050,0.3791873816345597,0.6208126183654403
프로그래밍,9835406253,2580150370,7255255883,0.26233287203698386,0.7376671279630161
