,월,일,실거래금액
0,1,1,35128750
1,1,2,42187200
2,1,3,100619704
3,1,4,101441124
4,1,5,165650816
5,1,6,79886230
6,1,7,122769660
7,1,8,84050850
8,1,9,235036200
9,1,10,32040472
10,1,11,61766654
11,1,12,70669563
12,1,13,65360786
13,1,14,75544842
14,1,15,69340990
15,1,16,167086990
16,1,17,28053234
17,1,18,39594944
18,1,19,39896948
19,1,20,42023211
20,1,21,79772867
21,1,22,31491990
22,1,23,44347780
23,1,24,42813790
24,1,25,54894552
25,1,26,59915199
26,1,27,63378321
27,1,28,86046718
28,1,29,62012290
29,1,30,70885250
30,1,31,170259475
31,2,1,55874040
32,2,2,154888900
33,2,3,23956149
34,2,4,53241278
35,2,5,58155230
36,2,6,153503540
37,2,7,69503732
38,2,8,65192844
39,2,9,53410552
40,2,10,68410781
41,2,11,84360406
42,2,12,43071140
43,2,13,78371500
44,2,14,36295017
45,2,15,37469116
46,2,16,37732573
47,2,17,45245897
48,2,18,42840444
49,2,19,56741870
50,2,20,53918000
51,2,21,49960639
52,2,22,59256647
53,2,23,56724393
54,2,24,56296242
55,2,25,57643575
56,2,26,48806400
57,2,27,64116100
58,2,28,217373612
59,3,1,26615600
60,3,2,30459219
61,3,3,30349005
62,3,4,47566433
63,3,5,20148500
64,3,6,35642600
65,3,7,65405766
66,3,8,60272258
67,3,9,43092900
68,3,10,57357661
69,3,11,90203361
70,3,12,52843240
71,3,13,135045200
72,3,14,31262885
73,3,15,44853934
74,3,16,37542201
75,3,17,33928476
76,3,18,35689230
77,3,19,38859500
78,3,20,30704700
79,3,21,44159384
80,3,22,54856543
81,3,23,48581774
82,3,24,45766897
83,3,25,50562776
84,3,26,34938000
85,3,27,39480500
86,3,28,75704712
87,3,29,69143918
88,3,30,85968417
89,3,31,175253812
90,4,1,29757768
91,4,2,29483000
92,4,3,36076930
93,4,4,49950361
94,4,5,42009948
95,4,6,37967267
96,4,7,41566050
97,4,8,48871028
98,4,9,21245400
99,4,10,19275500
100,4,11,55757337
101,4,12,54549330
102,4,13,41078314
103,4,14,55367870
104,4,15,66709200
105,4,16,55183400
106,4,17,140133740
107,4,18,25532476
108,4,19,32527800
109,4,20,27469934
110,4,21,32771330
111,4,22,29948923
112,4,23,26045500
113,4,24,25161700
114,4,25,49044373
115,4,26,48861686
116,4,27,58327100
117,4,28,70609613
118,4,29,79965408
119,4,30,124083130
120,5,1,20595500
121,5,2,35290557
122,5,3,42359930
123,5,4,41112505
124,5,5,45286020
125,5,6,20808351
126,5,7,17804160
127,5,8,22223600
128,5,9,47211775
129,5,10,42853270
130,5,11,49010807
131,5,12,47352560
132,5,13,51843627
133,5,14,40112600
134,5,15,109744100
135,5,16,25628480
136,5,17,30594001
137,5,18,34613410
138,5,19,27033456
139,5,20,24340952
140,5,21,20107600
141,5,22,25038800
142,5,23,42170678
143,5,24,39383594
144,5,25,38750489
145,5,26,42570367
146,5,27,41056085
147,5,28,26683600
148,5,29,32114430
149,5,30,70845209
150,5,31,132180411
151,6,1,30243000
152,6,2,29812295
153,6,3,34355622
154,6,4,44107800
155,6,5,29035300
156,6,6,78337330
157,6,7,50376237
158,6,8,51733226
159,6,9,53684314
160,6,10,77448184
161,6,11,49446740
162,6,12,122471050
163,6,13,27820080
164,6,14,41384217
165,6,15,48321400
166,6,16,45356120
167,6,17,37594755
168,6,18,34974500
169,6,19,61556500
170,6,20,58143008
171,6,21,64181406
172,6,22,62013625
173,6,23,69582550
174,6,24,70366508
175,6,25,53089800
176,6,26,131230100
177,6,27,45649611
178,6,28,70989125
179,6,29,92567034
180,6,30,181352612
181,7,1,33931338
182,7,2,23790800
183,7,3,36400500
184,7,4,65972667
185,7,5,71271847
186,7,6,62381430
187,7,7,61052000
188,7,8,90476672
189,7,9,51352510
190,7,10,105229358
191,7,11,42152359
192,7,12,54434069
193,7,13,58886046
194,7,14,38798250
195,7,15,48355591
196,7,16,49308670
197,7,17,48913800
198,7,18,74058042
199,7,19,65810768
200,7,20,65414079
201,7,21,70311036
202,7,22,82136590
203,7,23,52545310
204,7,24,126465538
205,7,25,57520086
206,7,26,57665709
207,7,27,63179400
208,7,28,64965679
209,7,29,80585234
210,7,30,68717490
211,7,31,159331318
212,8,1,37388320
213,8,2,42020947
214,8,3,40733583
215,8,4,43522735
216,8,5,36646085
217,8,6,37123400
218,8,7,44558090
219,8,8,60784135
220,8,9,64674977
221,8,10,67686471
222,8,11,59699630
223,8,12,69251459
224,8,13,58555770
225,8,14,113427420
226,8,15,97041661
227,8,16,38134745
228,8,17,48442339
229,8,18,48091058
230,8,19,46330828
231,8,20,42741681
232,8,21,48121030
233,8,22,68446734
234,8,23,104434919
235,8,24,83401308
236,8,25,72659107
237,8,26,68050122
238,8,27,66402760
239,8,28,95227670
240,8,29,90770216
241,8,30,118680004
242,8,31,215507101
243,9,1,42883815
244,9,2,42257787
245,9,3,42206500
246,9,4,70491900
247,9,5,73377672
248,9,6,67806224
249,9,7,68551155
250,9,8,82423996
251,9,9,67864350
252,9,10,59163850
253,9,11,163570550
254,9,12,116960030
